NRO,EMPRESA,TIPO_DOCUMENTO_TITULAR,NRO_DOCUMENTO_TITULAR,FECHA_NACIMIENTO_TITULAR,NOMBRE_TITULAR,PATERNO_TITULAR,MATERNO_TITULAR,NACIONALIDAD_TITULAR,SEXO_TITULAR,NRO_SEGURO_TITULAR,NRO_CELULAR_TITULAR,TITULAR_ES_BENEFICIARIA,TIPO_DOCUMENTO_BENEFICIARIA,NRO_DOCUMENTO_BENEFICIARIA,FECHA_NACIMIENTO_BENEFICIARIA,NOMBRE_BENEFICIARIA,PATERNO_BENEFICIARIA,MATERNO_BENEFICIARIA,NACIONALIDAD_BENEFICIARIA,SEXO_BENEFICIARIA,NRO_SEGURO_BENEFICIARIA,NRO_CELULAR_BENEFICIARIA,TIPO_SUBSIDIO,MONTO,CANTIDAD,TOTAL,NRO_ASIGNACION,DISTRITO,FECHA_INICIO,FECHA_FIN
11,MAGISTERIO,CI,7644156,10/11/2003,CARLA,CASTRO,ARTEAGA,BOLIVIA,F,354792,71539710,SI,,,,,,,,,,78666676,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
12,MAGISTERIO,CI,5596788,06/08/1995,JORGE,CARVALHO,MEJIA,BOLIVIA,M,354793,71539711,NO,CI,5300147,25/03/1979,HELEN,ANGULO,ESCALERA,BOLIVIA ,F,35354,78666677,1,2000,475,2000,1,BENI ,05/01/2018,12/01/2018
13,MAGISTERIO,CI,6845668,19/02/2001,PAOLA,CATARI,TARQUI,BOLIVIA,F,354794,71539712,SI,,,,,,,,,,78666678,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
14,MAGISTERIO,CI,5353222,19/12/1988,GUISELA,CESPEDES,VALLEJOS,BOLIVIA,F,354795,71539713,SI,,,,,,,,,,78666679,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
15,MAGISTERIO,CI,7644262,26/04/1962,YASCARA,CHAVEZ,CUELLAR,BOLIVIA,F,354796,71539714,SI,,,,,,,,,,78666680,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
16,MAGISTERIO,CI,4185010,08/05/2010,ANGELICA,CHAVEZ,JARE,BOLIVIA,F,354797,71539715,SI,,,,,,,,,,78666681,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
17,MAGISTERIO,CI,1908490,27/02/1960,ARMANDO,CHAVEZ,MENDOZA,BOLIVIA,M,354798,71539716,NO,CI,5185367,24/11/1997,KRIS,ANTEZANA,ROJAS,BOLIVIA ,F,35354,78666682,3,2000,480,6000,1,CBBA,05/01/2018,12/01/2018
18,MAGISTERIO,CI,5616233,08/02/2008,MARCELO,CHAVEZ,MUÑOZ,BOLIVIA,M,354799,71539717,NO,CI,5686080,03/05/1999,VIVIAN,ANZE,FLORES,BOLIVIA ,F,35354,78666683,1,2000,481,2000,1,SANTA CRUZ,05/01/2018,12/01/2018
19,MAGISTERIO,CI,7628307,02/01/2004,ELIANE,CHAVEZ,,BOLIVIA,F,354800,71539718,SI,,,,,,,,,,78666684,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
20,MAGISTERIO,CI,6813600,15/06/1966,MABEL,CHIRI,NINA,BOLIVIA,F,354801,71539719,SI,,,,,,,,,,78666685,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
21,MAGISTERIO,CI,1936022,16/01/2002,LILIAN,CLAURE,,BOLIVIA,F,354802,71539720,SI,,,,,,,,,,78666686,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
22,MAGISTERIO,CI,1705393,08/01/1955,MIGUEL,COIMBRA,AÑEZ,BOLIVIA,M,354803,71539721,NO,CI,5112442,24/01/2000,PAOLA,AQUINO,VELARDE,BOLIVIA ,F,35354,78666687,1,2000,485,2000,1,LA PAZ,05/01/2018,12/01/2018
23,MAGISTERIO,CI,6822703,20/10/1957,WILMER PANFILO,CONDORI,,BOLIVIA,M,354804,71539722,NO,CI,5904971,26/04/2001,GIOVANNI,ARAMAYO,JIMENEZ,BOLIVIA ,F,35354,78666688,3,2000,486,6000,1,LA PAZ,05/01/2018,12/01/2018
24,MAGISTERIO,CI,5626415,15/06/1957,FRANS,CORTEZ,MUÑOZ,BOLIVIA,M,354805,71539723,NO,CI,5909968,21/07/1996,JULIO,ARAMAYO,LIMACHI,BOLIVIA ,F,35354,78666689,1,2000,487,2000,1,CBBA,05/01/2018,12/01/2018
25,MAGISTERIO,CI,3539596,26/06/1991,DANIELA,COSTAS,DELGADILLO,BOLIVIA,F,354806,71539724,SI,,,,,,,,,,78666690,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
26,MAGISTERIO,CI,4194077,27/06/1963,HECTOR,COSTAS,JIMENEZ,BOLIVIA,M,354807,71539725,NO,CI,8054255,06/08/1982,VERONICA,ARANDIA,ENCINAS,BOLIVIA ,F,35354,78666691,1,2000,489,2000,1,BENI ,05/01/2018,12/01/2018
27,MAGISTERIO,CI,7587556,14/02/1978,FRANZ,CUAPO,MOYE,BOLIVIA,M,354808,71539726,NO,CI,4539948,10/02/1971,SILVIA,ARAUCO,ESCALERA,BOLIVIA ,F,35354,78666692,3,2000,490,6000,1,PANDO ,05/01/2018,12/01/2018
28,MAGISTERIO,CI,7580714,04/10/1992,MERY,CUELLAR,RIBERA,BOLIVIA,F,354809,71539727,SI,,,,,,,,,,78666693,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
29,MAGISTERIO,CI,5967246,11/10/1966,ALEJANDRA,CUEVAS,ENRIQUEZ,BOLIVIA,F,354810,71539728,SI,,,,,,,,,,78666694,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
30,MAGISTERIO,CI,4177815,23/09/1981,YGORKI,CUJUY,,BOLIVIA,M,354811,71539729,NO,CI,5920894,08/06/2005,JIMENA,ARCE,ZAMBRANA,BOLIVIA ,F,35354,78666695,1,2000,493,2000,1,LA PAZ,05/01/2018,12/01/2018
31,MAGISTERIO,CI,6759859,11/09/1958,HUBER,DELGADILLOA,AGUADA,BOLIVIA,M,354812,71539730,NO,CI,4811815,16/04/1979,MICAELA,ARELLANO,MENESES,BOLIVIA ,F,35354,78666696,3,2000,494,6000,1,CBBA,05/01/2018,12/01/2018
32,MAGISTERIO,CI,6759859,15/09/2011,HUBER,DELGADILLO,AGUADA,BOLIVIA,M,354813,71539731,NO,CI,3794216,03/07/1966,ISABEL,AREVALO,BARRENECHEA,BOLIVIA ,F,35354,78666697,1,2000,495,2000,1,SANTA CRUZ,05/01/2018,12/01/2018
33,MAGISTERIO,CI,5617178,21/01/2004,SARAH,DESTRE,VARGAS,BOLIVIA,F,354814,71539732,SI,,,,,,,,,,78666698,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
34,MAGISTERIO,CI,10841315,23/08/1993,VANESSA,DORADO,,BOLIVIA,F,354815,71539733,SI,,,,,,,,,,78666699,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
35,MAGISTERIO,CI,7598728,25/10/1978,ROMER,DURAN,,BOLIVIA,M,354816,71539734,NO,CI,6490704,06/04/1976,DANIEL,ARGOTE,ZAMBRANA,BOLIVIA ,F,35354,78666700,3,2000,498,6000,1,SUCRE,05/01/2018,12/01/2018
36,MAGISTERIO,CI,7654839,05/01/1999,CARLOS,DURAN,ISITA,BOLIVIA,M,354817,71539735,NO,CI,9452575,30/10/1965,ROXANA,ARIAS,FERNANDEZ,BOLIVIA ,F,35354,78666701,1,2000,499,2000,1,LA PAZ,05/01/2018,12/01/2018
37,MAGISTERIO,CI,6845668,19/02/2001,PAOLA,CATARI,TARQUI,BOLIVIA,F,354818,71539736,SI,,,,,,,,,,78666702,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
38,MAGISTERIO,CI,5353222,19/12/1988,GUISELA,CESPEDES,VALLEJOS,BOLIVIA,F,354819,71539737,SI,,,,,,,,,,78666703,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
39,MAGISTERIO,CI,5602708,21/07/1983,RICARDO,AGUILERA,JIMENEZ,BOLIVIA,M,354820,71539738,NO,CI,4192294,04/05/2002,MARIELA,ALCAZAR,ALMARAZ,BOLIVIA ,F,35354,78666704,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
40,MAGISTERIO,CI,5602708,21/07/1983,RICARDO,AGUILERA,JIMENEZ,BOLIVIA,F,354821,71539739,NO,CI,6450571,07/08/1978,MARLENY,ROJAS,PATIÑO,BOLIVIA ,F,35354,78666705,1,2000,1,2000,1,CBBA,05/01/2018,12/01/2018
41,MAGISTERIO,CI,10810779,22/05/1954,ANKEE,AGUILERA,KADO,BOLIVIA,F,354822,71539740,NO,CI,4439899,16/09/1999,LIZ,ROJAS,RIOS,BOLIVIA ,F,35354,78666706,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
42,MAGISTERIO,CI,4192294,04/05/2002,MARIELA,ALCAZAR,ALMARAZ,BOLIVIA,M,354823,71539741,NO,CI,4392378,25/12/1975,IVETTE,ROJAS,SANCHEZ,BOLIVIA ,F,35354,78666707,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
43,MAGISTERIO,CI,4175208,10/02/1966,EDDY,ALVAREZ,ARRAZOLA,BOLIVIA,M,354824,71539742,NO,CI,8776172,26/07/1959,ELIZABETH,PEREZ,,BOLIVIA ,F,35354,78666708,3,2000,464,6000,1,LA PAZ,05/01/2018,12/01/2018
44,MAGISTERIO,CI,1727556,08/08/2009,FRANK,ANDRADE,MORANT,BOLIVIA,F,354825,71539743,NO,CI,4449945,23/04/1981,EUNICE,ROLDAN,MENECES,BOLIVIA ,F,35354,78666709,1,2000,465,2000,1,LA PAZ,05/01/2018,12/01/2018
45,MAGISTERIO,CI,7614958,30/10/1974,DANIELA,AÑEZ,ARTEAGA,BOLIVIA,M,354826,71539744,NO,CI,7908958,15/11/2008,LIZ,ROMERO,FLORES,BOLIVIA ,F,35354,78666710,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
46,MAGISTERIO,CI,4189554,20/06/1995,XIMENA,ANTELO,ORTIZ,BOLIVIA,F,354827,71539745,NO,CI,5305178,22/04/2011,ELIANA,ROMERO,MERIDA,BOLIVIA ,F,35354,78666711,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
47,MAGISTERIO,CI,7847519,23/05/1990,LIA,ANTEZANA,GUTIERREZ,BOLIVIA,F,354828,71539746,NO,CI,8022765,15/07/1962,LITZI,ROMERO,PEREZ,BOLIVIA ,F,35354,78666712,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
48,MAGISTERIO,CI,1734107,04/10/1995,EDWIN,ARAOZ,TERAN,BOLIVIA,M,354829,71539747,NO,CI,5300497,06/08/2007,DANIELA,ROMERO,RAMIREZ,BOLIVIA ,F,35354,78666713,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
49,MAGISTERIO,CI,10783821,26/10/1967,JESSENIA,ARREDONDO,,BOLIVIA,F,354830,71539748,NO,CI,6546255,01/10/1970,JUAN,ROMERO,RODRIGUEZ,BOLIVIA ,F,35354,78666714,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
50,MAGISTERIO,CI,4168465,10/02/1989,JAIME,ARRIAZA,CHAVEZ,BOLIVIA,M,354831,71539749,NO,CI,8684237,21/06/2000,VIRGINIA,ROMERO,VARGAS,BOLIVIA ,F,35354,78666715,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
51,MAGISTERIO,CI,7620519,13/08/1979,CRETY,ARZA,RODRIGUEZ,BOLIVIA,F,354832,71539750,NO,CI,6496299,17/03/1965,WILBERT,RONCAL,GARCIA,BOLIVIA ,F,35354,78666716,3,2000,472,6000,1,LA PAZ,05/01/2018,12/01/2018
52,MAGISTERIO,CI,7582109,16/09/1993,VERONICA,ARZE,VARGAS,BOLIVIA,F,354833,71539751,NO,CI,7941753,01/11/1968,CARMEN,ROQUE,GARCIA,BOLIVIA ,F,35354,78666717,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
53,MAGISTERIO,CI,10833248,08/12/2004,CAMILO,AVIRA,MARADEY,BOLIVIA,M,354834,71539752,NO,CI,8585046,18/03/1988,AMALIA,ROQUE,MUNDOCORRE,BOLIVIA ,F,35354,78666718,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
54,MAGISTERIO,CI,10794552,31/10/1957,OSCAR,AVIRIRI,ATOYAY,BOLIVIA,F,354835,71539753,NO,CI,5281734,17/03/2011,MABEL,ROSALES,JIMENEZ,BOLIVIA ,F,35354,78666719,1,2000,475,2000,1,BENI ,05/01/2018,12/01/2018
55,MAGISTERIO,CI,4748807,21/07/1974,WILDER,BACARREZA,ALBA,BOLIVIA,F,354836,71539754,NO,CI,8780045,16/12/1972,GUICELA,ROSALES,MACHADO,BOLIVIA ,F,35354,78666720,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
56,MAGISTERIO,CI,1932096,19/06/2002,HAROLD,BARBA,LIJERON,BOLIVIA,F,354837,71539755,NO,CI,8018630,24/06/1970,EDSON,ROSAS,QUEZADA,BOLIVIA ,F,35354,78666721,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
57,MAGISTERIO,CI,1932096,03/03/1955,HAROLD,BARBA,LIJERON,BOLIVIA,F,354838,71539756,NO,CI,4453670,30/12/1957,LILIAN NINOSKA,RUFINO,PERALTA,BOLIVIA ,F,35354,78666722,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
59,MAGISTERIO,CI,5623072,11/05/1983,HORACIO,BAZAN,NAJAYA,BOLIVIA,M,354840,71539757,NO,CI,4452735,24/06/1996,LYSBETH,SAAVEDRA,COCA,BOLIVIA ,F,35354,78666723,3,2000,480,6000,1,CBBA,05/01/2018,12/01/2018
60,MAGISTERIO,CI,2342632,06/10/1977,FERNANDO,BEJAR,MOLINA,BOLIVIA,F,354841,71539758,NO,CI,3606530,01/09/2011,RAUL,SAAVEDRA,IRIARTE,BOLIVIA ,F,35354,78666724,1,2000,481,2000,1,SANTA CRUZ,05/01/2018,12/01/2018
61,MAGISTERIO,CI,4192688,27/04/2010,REMMY,CALLAU,ALVAREZ,BOLIVIA,F,354842,71539759,NO,CI,4454892,01/03/1975,RONALDO,SAENZ,ALCOCER,BOLIVIA ,F,35354,78666725,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
62,MAGISTERIO,CI,7646584,17/09/1995,IVER,CALLER,NORO,BOLIVIA,F,354843,71539760,NO,CI,6496407,19/12/1971,GIVERT,SAHONERO,MUÑOZ,BOLIVIA ,F,35354,78666726,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
63,MAGISTERIO,CI,1767009,24/09/1978,CARLA,CAMARGO,MORALES,BOLIVIA,M,354844,71539761,NO,CI,5315846,20/03/2008,MARIA,SAINZ,CABRERA,BOLIVIA ,F,35354,78666727,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
64,MAGISTERIO,CI,7597425,02/05/2003,GADIEL,CAMPOS,CARTAGENA,BOLIVIA,M,354845,71539762,NO,CI,3675823,08/03/1983,NELZON,SALAMANCA,CHULVER,BOLIVIA ,F,35354,78666728,1,2000,485,2000,1,LA PAZ,05/01/2018,12/01/2018
65,MAGISTERIO,CI,5591850,20/12/1994,FERNANDO,CAMPOS,MALALA,BOLIVIA,M,354846,71539763,NO,CI,3355984,12/07/2002,MARIA,SALAVERRY,ABREGO,BOLIVIA ,F,35354,78666729,3,2000,486,6000,1,LA PAZ,05/01/2018,12/01/2018
66,MAGISTERIO,CI,8907493,30/06/1984,KEILA,CANDIA,,BOLIVIA,F,354847,71539764,NO,CI,5275830,15/07/1957,KATTY,SALAZAR,REQUE,BOLIVIA ,F,35354,78666730,1,2000,487,2000,1,CBBA,05/01/2018,12/01/2018
67,MAGISTERIO,CI,7595102,12/10/1955,JOSE,CARDONA,PANIAGUA,BOLIVIA,M,354848,71539765,NO,CI,5745390,21/04/2001,VIVIAN,SALAZAR,ROCHA,BOLIVIA ,F,35354,78666731,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
68,MAGISTERIO,CI,7646216,30/04/1991,CAROLA,CARTAGENA,DAVALOS,BOLIVIA,M,354849,71539766,NO,CI,6414401,04/01/1986,GUIDO,SALGUERO,ALCOA,BOLIVIA ,F,35354,78666732,1,2000,489,2000,1,BENI ,05/01/2018,12/01/2018
69,MAGISTERIO,CI,7644156,10/11/2003,CARLA,CASTRO,ARTEAGA,BOLIVIA,F,354850,71539767,NO,CI,4383236,17/08/1997,MARIA,SALINAS,MEDRANO,BOLIVIA ,F,35354,78666733,3,2000,490,6000,1,PANDO ,05/01/2018,12/01/2018
70,MAGISTERIO,CI,5596788,06/08/1995,JORGE,CARVALHO,MEJIA,BOLIVIA,F,354851,71539768,NO,CI,6449912,30/09/1995,ISAAC,SALINAS,MENDOZA,BOLIVIA ,F,35354,78666734,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
71,MAGISTERIO,CI,6845668,19/02/2001,PAOLA,CATARI,TARQUI,BOLIVIA,M,354852,71539769,NO,CI,6439399,15/10/1974,TITO,SALVATIERRA,GUZMAN,BOLIVIA ,F,35354,78666735,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
72,MAGISTERIO,CI,5353222,19/12/1988,GUISELA,CESPEDES,VALLEJOS,BOLIVIA,M,354853,71539770,NO,CI,2633951,06/01/1987,CARLOS,SALVATIERRA,TERCEROS,BOLIVIA ,F,35354,78666736,1,2000,493,2000,1,LA PAZ,05/01/2018,12/01/2018
73,MAGISTERIO,CI,7644262,26/04/1962,YASCARA,CHAVEZ,CUELLAR,BOLIVIA,M,354854,71539771,NO,CI,5250655,09/02/2010,ZULEMA,SANCHEZ,CHAMBI,BOLIVIA ,F,35354,78666737,3,2000,494,6000,1,CBBA,05/01/2018,12/01/2018
74,MAGISTERIO,CI,4185010,08/05/2010,ANGELICA,CHAVEZ,JARE,BOLIVIA,F,354855,71539772,NO,CI,6554554,11/02/1976,JHERSON,SANCHEZ,JIMENEZ,BOLIVIA ,F,35354,78666738,1,2000,495,2000,1,SANTA CRUZ,05/01/2018,12/01/2018
75,MAGISTERIO,CI,1908490,27/02/1960,ARMANDO,CHAVEZ,MENDOZA,BOLIVIA,F,354856,71539773,NO,CI,6452020,13/06/2010,MILTON,SANCHEZ,MEDINA,BOLIVIA ,F,35354,78666739,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
76,MAGISTERIO,CI,5616233,08/02/2008,MARCELO,CHAVEZ,MUÑOZ,BOLIVIA,M,354857,71539774,NO,CI,6451937,27/11/1987,MILTON,SANCHEZ,ROJAS,BOLIVIA ,F,35354,78666740,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
77,MAGISTERIO,CI,7628307,02/01/2004,ELIANE,CHAVEZ,,BOLIVIA,M,354858,71539775,NO,CI,5199854,31/07/1979,ALDO,SANCHEZ,SANTOS,BOLIVIA ,F,35354,78666741,3,2000,498,6000,1,SUCRE,05/01/2018,12/01/2018
78,MAGISTERIO,CI,6813600,15/06/1966,MABEL,CHIRI,NINA,BOLIVIA,F,354859,71539776,NO,CI,5218503,30/12/1958,JOSE,SANDOVAL,DURAN,BOLIVIA ,F,35354,78666742,1,2000,499,2000,1,LA PAZ,05/01/2018,12/01/2018
79,MAGISTERIO,CI,1936022,16/01/2002,LILIAN,CLAURE,,BOLIVIA,F,354860,71539777,NO,CI,4456462,10/03/1993,MARCELO,SANDOVAL,MEDRANO,BOLIVIA ,F,35354,78666743,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
80,MAGISTERIO,CI,1705393,08/01/1955,MIGUEL,COIMBRA,AÑEZ,BOLIVIA,M,354861,71539778,NO,CI,8052609,03/11/1991,MILENKA LIA,SANDOVAL,,BOLIVIA ,F,35354,78666744,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
81,MAGISTERIO,CI,6822703,20/10/1957,WILMER PANFILO,CONDORI,,BOLIVIA,F,354862,71539779,NO,CI,4646168,19/02/1983,JHONNY,SANTIVAÑEZ,TAPIA,BOLIVIA ,F,35354,78666745,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
82,MAGISTERIO,CI,5626415,15/06/1957,FRANS,CORTEZ,MUÑOZ,BOLIVIA,F,354863,71539780,NO,CI,6404572,19/09/1962,SUEHELEN,SARAVIA,MAIDA,BOLIVIA ,F,35354,78666746,1,2000,1,2000,1,CBBA,05/01/2018,12/01/2018
83,MAGISTERIO,CI,3539596,26/06/1991,DANIELA,COSTAS,DELGADILLO,BOLIVIA,M,354864,71539781,NO,CI,5153472,23/12/1990,LIMBERT,SARAVIA,SEVERICHZ,BOLIVIA ,F,35354,78666747,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
84,MAGISTERIO,CI,4194077,27/06/1963,HECTOR,COSTAS,JIMENEZ,BOLIVIA,M,354865,71539782,NO,CI,5162422,01/04/1977,RUBEN,SARDAN,MONTAÑO,BOLIVIA ,F,35354,78666748,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
85,MAGISTERIO,CI,7587556,14/02/1978,FRANZ,CUAPO,MOYE,BOLIVIA,F,354866,71539783,NO,CI,6532411,24/10/1967,EDWIN,SEJAS,ANGULO,BOLIVIA ,F,35354,78666749,3,2000,464,6000,1,LA PAZ,05/01/2018,12/01/2018
86,MAGISTERIO,CI,7580714,04/10/1992,MERY,CUELLAR,RIBERA,BOLIVIA,M,354867,71539784,NO,CI,8012176,24/07/1974,KAREN,SEJAS,PAREJA,BOLIVIA ,F,35354,78666750,1,2000,465,2000,1,LA PAZ,05/01/2018,12/01/2018
87,MAGISTERIO,CI,5967246,11/10/1966,ALEJANDRA,CUEVAS,ENRIQUEZ,BOLIVIA,F,354868,71539785,NO,CI,4746763,29/07/2006,RICHARD,SEMPERTEGUI,ARANCIBIA,BOLIVIA ,F,35354,78666751,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
88,MAGISTERIO,CI,4177815,23/09/1981,YGORKI,CUJUY,,BOLIVIA,F,354869,71539786,NO,CI,9711520,13/06/1960,DAYANA HERCILIA,SEMPERTEGUI,,BOLIVIA ,F,35354,78666752,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
89,MAGISTERIO,CI,6759859,11/09/1958,HUBER,DELGADILLOA,AGUADA,BOLIVIA,M,354870,71539787,NO,CI,7887932,16/09/1968,NHADIR,SEVERICH,BUSTAMANTE,BOLIVIA ,F,35354,78666753,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
90,MAGISTERIO,CI,6759859,15/09/2011,HUBER,DELGADILLO,AGUADA,BOLIVIA,F,354871,71539788,NO,CI,4309152,16/10/1961,MAURICIO ALFREDO,SEVILLA,,BOLIVIA ,F,35354,78666754,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
91,MAGISTERIO,CI,5617178,21/01/2004,SARAH,DESTRE,VARGAS,BOLIVIA,M,354872,71539789,NO,CI,4384165,18/03/2008,GEOVANNA,SEVILLANO,LAFUENTE,BOLIVIA ,F,35354,78666755,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
92,MAGISTERIO,CI,10841315,23/08/1993,VANESSA,DORADO,,BOLIVIA,F,354873,71539790,NO,CI,8726624,18/09/1992,REMBERTO,SIACARI,TOCOKARI,BOLIVIA ,F,35354,78666756,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
93,MAGISTERIO,CI,7598728,25/10/1978,ROMER,DURAN,,BOLIVIA,F,354874,71539791,NO,CI,5315222,17/11/1967,LUZ,SIERRA,BUSTAMANTE,BOLIVIA ,F,35354,78666757,3,2000,472,6000,1,LA PAZ,05/01/2018,12/01/2018
94,MAGISTERIO,CI,7654839,05/01/1999,CARLOS,DURAN,ISITA,BOLIVIA,M,354875,71539792,NO,CI,4758691,02/06/1962,ROBERTO,SIERRA,VENEGAS,BOLIVIA ,F,35354,78666758,2,2000,2,4000,1,LA PAZ,05/01/2018,12/01/2018
